0.96446,0.46011,0.29653,0.19415,0.03034,0.71684,0.56737,0.64457,0.31130,0.82007
0.12083,0.02780,0.68280,0.75335,0.93584,0.80543,0.34284,0.20267,0.52989,0.42340
0.48496,0.78085,0.38181,0.67273,0.82524,0.94561,0.53161,0.19132,0.26521,0.07074
0.91767,0.04567,0.83338,0.15548,0.60912,0.30922,0.27720,0.46158,0.74595,0.57462
0.48942,0.04747,0.26619,0.78866,0.98762,0.12202,0.88286,0.36750,0.68182,0.51681
0.63710,0.24559,0.35757,0.84447,0.71281,0.93454,0.41502,0.16465,0.04529,0.51788
0.06703,0.39632,0.42601,0.62916,0.99897,0.18616,0.57834,0.73041,0.80868,0.20627
0.80262,0.49466,0.27094,0.19809,0.79748,0.93274,0.61550,0.39857,0.06843,0.52292
0.51007,0.72692,0.21308,0.06993,0.86127,0.40622,0.95952,0.36667,0.12088,0.65002
0.08479,0.37903,0.74456,0.16736,0.45489,0.29106,0.69538,0.89722,0.50959,0.92036
0.57540,0.36408,0.88540,0.26262,0.92152,0.02480,0.69157,0.75913,0.11303,0.44659
0.98342,0.08129,0.49184,0.82956,0.54646,0.68274,0.12933,0.39582,0.29680,0.71820
0.09057,0.77986,0.84363,0.24283,0.44118,0.65655,0.56420,0.36167,0.91697,0.10980
0.62962,0.72124,0.85956,0.54622,0.31710,0.09915,0.11048,0.40187,0.91583,0.26986
0.74111,0.45541,0.28521,0.63544,0.59409,0.14905,0.35328,0.92382,0.87472,0.06929
0.16048,0.21828,0.58284,0.43015,0.86512,0.34529,0.70702,0.07673,0.93784,0.62885
0.26110,0.43109,0.75673,0.39670,0.85741,0.94126,0.15550,0.06873,0.62584,0.53986
0.53095,0.24790,0.14431,0.41186,0.78514,0.34808,0.63651,0.98958,0.01574,0.85605
0.17540,0.52889,0.63631,0.21807,0.06255,0.70719,0.94879,0.89958,0.48272,0.39089
0.82401,0.17398,0.22711,0.65234,0.37688,0.08895,0.41351,0.94063,0.78036,0.53812
0.38935,0.12885,0.52695,0.02715,0.21004,0.45526,0.89632,0.78645,0.66749,0.94090
0.32840,0.80391,0.02453,0.76709,0.98301,0.40074,0.10786,0.55878,0.29292,0.61847
0.83877,0.36363,0.06747,0.70913,0.95297,0.19270,0.61007,0.47083,0.53536,0.26253
0.82603,0.61845,0.36418,0.12980,0.03933,0.74164,0.55400,0.28300,0.40732,0.90365
0.18029,0.75820,0.53969,0.95535,0.08756,0.85276,0.26821,0.35962,0.43426,0.60904
0.46399,0.91535,0.03048,0.74039,0.84418,0.38606,0.10757,0.20003,0.54846,0.67396
0.41883,0.74233,0.21325,0.87135,0.00907,0.30822,0.13295,0.56759,0.69775,0.98691
0.64144,0.23663,0.02041,0.58618,0.91928,0.82246,0.71720,0.44875,0.38766,0.15139
0.88364,0.55704,0.48648,0.39547,0.79755,0.13623,0.22783,0.64040,0.05914,0.94193
0.27830,0.99785,0.01116,0.77772,0.41848,0.86115,0.56481,0.39472,0.63058,0.10754
0.49256,0.12890,0.33584,0.01499,0.51123,0.95669,0.69764,0.79262,0.85103,0.23671
